                       ,"Overn. og
servering",Industri,"Bygge- og
anleggsv.","Utv. av olje
 og gass","Faglig og
tekn. tj."
2008.0,100.0,100.0,100.0,100.0,100.0
,100.6,100.7,101.7,100.2,103.4
,102.0,101.2,98.0,115.6,106.4
,103.8,101.1,95.8,114.3,109.2
2009.0,97.9,98.0,94.9,113.3,106.6
,97.8,96.8,94.3,114.0,106.0
,98.0,95.7,94.5,114.7,105.8
,98.9,94.7,95.1,114.9,106.5
2010.0,98.2,93.6,92.6,118.3,105.4
,97.7,92.3,92.6,118.3,105.0
,98.4,91.7,93.8,119.0,105.3
,98.8,91.3,94.4,121.9,105.8
2011.0,99.8,91.1,94.8,123.1,106.2
,101.4,91.6,96.0,124.7,106.2
,101.6,92.1,97.6,126.5,107.4
,102.2,92.5,99.0,130.1,108.1
2012.0,101.5,92.4,100.0,133.5,108.8
,103.2,92.5,101.3,135.5,110.2
,103.6,93.2,103.1,137.6,109.9
,103.2,93.2,104.4,140.7,111.0
2013.0,103.9,93.9,104.6,141.0,111.2
,103.9,93.9,105.1,141.9,111.6
,106.1,94.4,105.2,142.8,112.5
,107.5,94.8,105.8,144.3,113.3
2014.0,107.7,94.8,106.8,144.6,115.1
,109.2,95.1,107.6,144.1,114.6
,109.5,95.1,108.4,143.0,115.5
,110.2,94.9,109.1,140.5,116.0
