Year,KPI-JAE
2000.0,2.0
2000.0,2.2
2000.0,1.6
2000.0,1.8
2000.0,2.0
2000.0,2.2
2000.0,2.3
2000.0,2.8
2000.0,2.7
2000.0,2.6
2000.0,2.6
2000.0,2.7
2001.0,2.8
2001.0,2.9
2001.0,2.8
2001.0,2.6
2001.0,2.7
2001.0,2.4
2001.0,2.6
2001.0,2.4
2001.0,2.3
2001.0,2.5
2001.0,2.5
2001.0,2.7
2002.0,2.5
2002.0,2.1
2002.0,2.6
2002.0,2.4
2002.0,2.6
2002.0,2.7
2002.0,2.7
2002.0,2.3
2002.0,2.2
2002.0,2.1
2002.0,2.0
2002.0,1.8
2003.0,1.8
2003.0,2.0
2003.0,1.5
2003.0,1.6
2003.0,1.2
2003.0,0.8
2003.0,0.7
2003.0,0.9
2003.0,0.9
2003.0,0.8
2003.0,0.5
2003.0,0.4
2004.0,0.0
2004.0,0.0
2004.0,0.3
2004.0,0.3
2004.0,0.1
2004.0,0.3
2004.0,0.2
2004.0,0.2
2004.0,0.5
2004.0,0.6
2004.0,1.0
2004.0,1.0
2005.0,0.7
2005.0,0.7
2005.0,0.7
2005.0,0.8
2005.0,1.1
2005.0,1.1
2005.0,1.1
2005.0,1.3
2005.0,1.3
2005.0,1.2
2005.0,1.1
2005.0,0.9
2006.0,0.8
2006.0,1.0
2006.0,0.9
2006.0,0.8
2006.0,0.7
2006.0,0.8
2006.0,0.6
2006.0,0.4
2006.0,0.5
2006.0,0.7
2006.0,0.8
2006.0,1.0
2007.0,1.0
2007.0,1.1
2007.0,1.5
2007.0,1.4
2007.0,1.4
2007.0,1.3
2007.0,1.4
2007.0,1.8
2007.0,1.6
2007.0,1.4
2007.0,1.5
2007.0,1.8
2008.0,1.9
2008.0,2.2
2008.0,2.1
2008.0,2.4
2008.0,2.3
2008.0,2.4
2008.0,2.9
2008.0,2.8
2008.0,3.1
2008.0,3.3
2008.0,2.7
2008.0,2.6
2009.0,2.8
2009.0,3.0
2009.0,2.7
2009.0,2.7
2009.0,2.9
2009.0,3.3
2009.0,2.5
2009.0,2.3
2009.0,2.4
2009.0,2.1
2009.0,2.4
2009.0,2.4
2010.0,2.3
2010.0,1.9
2010.0,1.7
2010.0,1.7
2010.0,1.5
2010.0,1.3
2010.0,1.3
2010.0,1.4
2010.0,0.9
2010.0,1.0
2010.0,1.0
2010.0,1.0
2010.0,0.7
2011.0,0.8
2011.0,0.8
2011.0,1.3
2011.0,1.0
2011.0,0.7
2011.0,1.2
2011.0,0.8
2011.0,1.2
2011.0,1.2
2011.0,1.0
2011.0,1.0
2012.0,1.3
2012.0,1.3
2012.0,1.5
2012.0,0.7
2012.0,1.4
2012.0,1.2
2012.0,1.3
2012.0,1.2
