Gen.,Announced,Model
1.0,"January 9, 2007",iPhone (1st generation)
2.0,"June 9, 2008",iPhone 3G
3.0,"June 8, 2009",iPhone 3GS
4.0,"June 7, 2010",iPhone 4
5.0,"October 4, 2011",iPhone 4S
6.0,"September 12, 2012",iPhone 5
7.0,"September 10, 2013",iPhone 5C
7.0,"September 10, 2013",iPhone 5S
8.0,"September 9, 2014",iPhone 6
8.0,"September 9, 2014",iPhone 6 Plus
9.0,"September 9, 2015",iPhone 6S
9.0,"September 9, 2015",iPhone 6S Plus
9.0,"March 21, 2016",iPhone SE (1st generation)
10.0,"September 7, 2016",iPhone 7
10.0,"September 7, 2016",iPhone 7 Plus
11.0,"September 12, 2017",iPhone 8
11.0,"September 12, 2017",iPhone 8 Plus
11.0,"September 12, 2017",iPhone X
12.0,"September 12, 2018",iPhone XR
12.0,"September 12, 2018",iPhone XS
12.0,"September 12, 2018",iPhone XS Max
13.0,"September 10, 2019",iPhone 11
13.0,"September 10, 2019",iPhone 11 Pro
13.0,"September 10, 2019",iPhone 11 Pro Max
13.0,"April 15, 2020",iPhone SE (2nd generation)
14.0,"October 13, 2020",iPhone 12
14.0,"October 13, 2020",iPhone 12 Mini
14.0,"October 13, 2020",iPhone 12 Pro
14.0,"October 13, 2020",iPhone 12 Pro Max
15.0,"September 14, 2021",iPhone 13
15.0,"September 14, 2021",iPhone 13 Mini
15.0,"September 14, 2021",iPhone 13 Pro
15.0,"September 14, 2021",iPhone 13 Pro Max
15.0,"March 8, 2022",iPhone SE (3rd generation)
