Month,Day,Time,Specifics
August,0,6pm,First Day of School/Parent Information session for grades 7-12
September,1,0,0
September,2,1,1
September,3,1,1
September,4,1,Safe Environment for All (7-12): Circle of Grace
October,5,0,0
October,6,1,1
October,7,1,Pray outside the Abortion Facility in Fargo
October,8,1,1
November,1st,0.770833333,Liturgy for All; All Saints Day Mass
November,8th,1,1
November,15th,1,1
November,22nd,1,No School/CYO: Thanksgiving
November,29th,1,1
December,1,0,0
December,2,1,2
December,3,1,3
December,4,1,3
December,30th,TBA,Youth Event: Skiing
January,3rd,0,0
January,10th,1,1
January,17th,1,Service for All (7-12): Spaghetti Supper
January,24th,1,1
January,31st,1,1
February,9,0,0
February,10,0.770833333,Liturgy for All; Ash Wednesday
February,11,1,1
February,12,1,1
March,9,0,0
March,10,1,2
March,11,1,1
March,12,1,Stations of the Cross
April,5,0,0
April,6,1,1
April,7,1,1
April,8,1,1
May,2nd,0,0
May,9th,1,Social for all: Softball
May,16th,1,Baccalaureate
May,0,,Last Day of School
May,4,2:30pm,High School Graduation at VCHS
