Product Name,Product 1
Product Description,Description 1
Product Price,Price 1
Product Discount,Discount 1
Product Name,Product 2
Product Description,Description 2
Product Price,Price 2
Product Discount,Discount 2
Product Name,Product 3
Product Description,Description 3
Product Price,Price 3
Product Discount,Discount 3
Product Name,Product 4
Product Description,Description 4
Product Price,Price 4
Product Discount,Discount 4
Product Name,Product 5
Product Description,Description 5
Product Price,Price 5
Product Discount,Discount 5
Product Name,Product 6
Product Description,Description 6
Product Price,Price 6
Product Discount,Discount 6
Product Name,Product 7
Product Description,Description 7
Product Price,Price 7
Product Discount,Discount 7
