Name,Age,var,value
Bob,13,Math,A+
John,16,Math,B
Foo,16,Math,A
Bar,15,Math,F
Alex,15,Math,D
Tom,13,Math,C
Bob,13,English,C
John,16,English,B
Foo,16,English,B
Bar,15,English,A+
Alex,15,English,F
Tom,13,English,A
Bob,13,Chemistry,A
John,16,Chemistry,C
Foo,16,Chemistry,A
Bar,15,Chemistry,A
Alex,15,Chemistry,C
Tom,13,Chemistry,A
Bob,13,Biology,A
John,16,Biology,B+
Foo,16,Biology,A
Bar,15,Biology,A
Alex,15,Biology,E
Tom,13,Biology,B+
Bob,13,Physics,B
John,16,Physics,C
Foo,16,Physics,B+
Bar,15,Physics,B
Alex,15,Physics,B
Tom,13,Physics,C
Bob,13,History,A
John,16,History,B
Foo,16,History,A
Bar,15,History,D
Alex,15,History,C
Tom,13,History,A
