Column1,Column2,Per Year,Per Month ,Bi-Weekly,Per Week
Income:,,,,,
,Job,46990.0,3915.833333,1807.307692,903.6538462
,Investments,2000.0,166.6666667,83.33333333,38.46153846
,Allowances,2000.0,166.6666667,83.33333333,38.46153846
,Game Show Winnings,649.0,54.08333333,27.04166667,12.48076923
Taxes:,,,,,
,Federal,11876.97,989.7475,494.87375,228.4032692
,State,4647.51,387.2925,193.64625,89.37519231
Expenses:,,,,,
,Housing,10800.0,900.0,450.0,207.6923077
,Utilities,2000.0,166.6666667,83.33333333,38.46153846
,Food,4000.0,333.3333333,166.6666667,76.92307692
,Clothing,2000.0,166.6666667,83.33333333,38.46153846
,Car Payments,2200.0,183.3333333,91.66666667,42.30769231
,Car Insurance,1700.0,141.6666667,70.83333333,32.69230769
,Transportation,700.0,58.33333333,29.16666667,13.46153846
,Travel,500.0,41.66666667,20.83333333,9.615384615
