Index,count,mean,std,min,25%,50%,75%,max
gender,7032.0,0.5046928327645052,0.5000135308251334,0.0,0.0,1.0,1.0,1.0
SeniorCitizen,7032.0,0.1624004550625711,0.3688439967571051,0.0,0.0,0.0,0.0,1.0
Partner,7032.0,0.4825085324232082,0.4997294886907991,0.0,0.0,0.0,1.0,1.0
Dependents,7032.0,0.2984926052332196,0.457629272995837,0.0,0.0,0.0,1.0,1.0
tenure,7032.0,32.421786120591584,24.545259709263256,1.0,9.0,29.0,55.0,72.0
PhoneService,7032.0,0.9032992036405004,0.2955709320291018,0.0,1.0,1.0,1.0,1.0
OnlineSecurity,7032.0,0.286547212741752,0.4521802563790777,0.0,0.0,0.0,1.0,1.0
OnlineBackup,7032.0,0.3448521046643913,0.4753538301712343,0.0,0.0,0.0,1.0,1.0
DeviceProtection,7032.0,0.3438566552901024,0.4750277308912676,0.0,0.0,0.0,1.0,1.0
TechSupport,7032.0,0.2901023890784983,0.4538416944717606,0.0,0.0,0.0,1.0,1.0
StreamingTV,7032.0,0.3843856655290102,0.4864843074333494,0.0,0.0,0.0,1.0,1.0
StreamingMovies,7032.0,0.3883674630261661,0.4874135421768257,0.0,0.0,0.0,1.0,1.0
PaperlessBilling,7032.0,0.5927189988623436,0.4913629222565288,0.0,0.0,1.0,1.0,1.0
MonthlyCharges,7032.0,64.79820819112628,30.08597388404984,18.25,35.587500000000006,70.35,89.86249999999998,118.75
TotalCharges,7032.0,2283.300440841866,2266.771361883145,18.8,401.45,1397.475,3794.7375,8684.8
Churn,7032.0,0.2657849829351535,0.4417817113525549,0.0,0.0,0.0,1.0,1.0
MultipleLines_No,7032.0,0.4813708759954493,0.4996883660837622,0.0,0.0,0.0,1.0,1.0
MultipleLines_No phone service,7032.0,0.0967007963594994,0.2955709320291018,0.0,0.0,0.0,0.0,1.0
MultipleLines_Yes,7032.0,0.4219283276450511,0.4939023222194599,0.0,0.0,0.0,1.0,1.0
InternetService_DSL,7032.0,0.3435722411831627,0.4749341352656061,0.0,0.0,0.0,1.0,1.0
InternetService_Fiber optic,7032.0,0.4402730375426621,0.4964551736124986,0.0,0.0,0.0,1.0,1.0
InternetService_No,7032.0,0.2161547212741752,0.411650283101074,0.0,0.0,0.0,0.0,1.0
Contract_Month-to-month,7032.0,0.551052332195677,0.4974222004539452,0.0,0.0,1.0,1.0,1.0
Contract_One year,7032.0,0.2093287827076222,0.4068584317786347,0.0,0.0,0.0,0.0,1.0
Contract_Two year,7032.0,0.2396188850967008,0.4268812352987827,0.0,0.0,0.0,0.0,1.0
PaymentMethod_Bank transfer (automatic),7032.0,0.2192832764505119,0.4137903698282622,0.0,0.0,0.0,0.0,1.0
PaymentMethod_Credit card (automatic),7032.0,0.216296928327645,0.4117483168573753,0.0,0.0,0.0,0.0,1.0
PaymentMethod_Electronic check,7032.0,0.3363196814562002,0.472483332716697,0.0,0.0,0.0,1.0,1.0
PaymentMethod_Mailed check,7032.0,0.2281001137656427,0.4196373361452227,0.0,0.0,0.0,0.0,1.0
